Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Split,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,skye,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,jett,25.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,viper,75.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,astra,25.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,raze,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,sova,25.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,killjoy,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,omen,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,kayo,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,brimstone,75.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,chamber,25.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,harbor,25.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,yoru,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,cypher,25.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,skye,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,jett,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,viper,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,astra,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,raze,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,sova,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,omen,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,kayo,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,skye,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,jett,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,viper,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,astra,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,raze,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,sova,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,omen,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,kayo,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,harbor,50.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Pearl,breach,0.0
