Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Split,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,skye,80.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,viper,70.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,raze,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,jett,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,astra,20.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,omen,10.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,sova,20.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,harbor,80.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,kayo,20.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Pearl,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,skye,63.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,viper,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,raze,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,jett,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,astra,13.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,omen,88.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,sova,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,kayo,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,fade,38.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Lotus,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,skye,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,viper,75.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,raze,75.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,killjoy,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,jett,13.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,astra,25.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,omen,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,brimstone,75.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,sova,13.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,harbor,25.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,kayo,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,chamber,38.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,cypher,38.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,yoru,25.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Bind,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,skye,17.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,viper,17.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,raze,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,jett,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,astra,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,omen,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,sova,83.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,kayo,83.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,breach,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Ascent,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,skye,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,viper,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,raze,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,killjoy,50.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,jett,25.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,astra,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,omen,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,brimstone,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,sova,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,kayo,50.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,chamber,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,breach,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,cypher,50.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,fade,25.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Fracture,deadlock,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,skye,50.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,viper,25.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,raze,25.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,killjoy,100.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,jett,75.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,astra,50.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,omen,50.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,brimstone,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,sova,50.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,harbor,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,kayo,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,chamber,25.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,breach,50.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,cypher,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,fade,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,yoru,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,iso,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,neon,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,gekko,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,phoenix,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,reyna,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,sage,0.0
Champions Tour 2023: Americas Last Chance Qualifier,All Stages,All Match Types,Haven,deadlock,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,jett,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,killjoy,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,viper,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,sova,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,skye,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,astra,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,raze,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,omen,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,kayo,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,harbor,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,breach,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,sage,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,brimstone,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,iso,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,gekko,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,neon,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,fade,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,phoenix,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,deadlock,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,reyna,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,cypher,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,chamber,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Ascent,yoru,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,jett,50.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,killjoy,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,viper,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,sova,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,skye,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,astra,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,raze,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,omen,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,kayo,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,harbor,50.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,breach,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,sage,50.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,brimstone,50.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,iso,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,gekko,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,neon,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,fade,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,phoenix,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,deadlock,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,reyna,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,cypher,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,chamber,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Bind,yoru,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,jett,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,killjoy,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,viper,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,sova,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,skye,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,astra,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,raze,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,omen,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,kayo,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,harbor,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,breach,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,sage,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,brimstone,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,iso,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,gekko,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,neon,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,fade,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,phoenix,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,deadlock,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,reyna,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,cypher,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,chamber,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Haven,yoru,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,jett,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,killjoy,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,viper,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,sova,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,skye,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,astra,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,raze,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,omen,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,kayo,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,harbor,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,breach,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,sage,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,brimstone,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,iso,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,gekko,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,neon,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,fade,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,phoenix,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,deadlock,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,reyna,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,cypher,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,chamber,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Pearl,yoru,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,jett,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,killjoy,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,viper,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,sova,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,skye,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,astra,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,raze,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,omen,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,kayo,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,harbor,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,breach,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,sage,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,brimstone,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,iso,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,gekko,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,neon,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,fade,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,phoenix,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,deadlock,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,reyna,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,cypher,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,chamber,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Round 1,Split,yoru,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,jett,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,killjoy,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,skye,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,viper,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,raze,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,brimstone,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,sova,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,kayo,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,breach,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,omen,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,harbor,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,astra,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,iso,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,neon,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,gekko,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,phoenix,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,fade,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,reyna,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,sage,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,deadlock,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,cypher,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,chamber,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Ascent,yoru,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,jett,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,killjoy,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,skye,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,viper,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,raze,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,brimstone,50.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,sova,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,kayo,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,breach,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,omen,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,harbor,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,astra,50.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,iso,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,neon,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,gekko,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,phoenix,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,fade,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,reyna,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,sage,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,deadlock,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,cypher,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,chamber,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Bind,yoru,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,jett,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,killjoy,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,skye,50.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,viper,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,raze,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,brimstone,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,sova,50.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,kayo,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,breach,100.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,omen,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,harbor,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,astra,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,iso,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,neon,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,gekko,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,phoenix,0.0
Champions Tour 2023: Americas League,Playoffs,Upper Semifinals,Fracture,fade,0.0
